PANTONENAME,UNIQUECODE,R,G,B
PANTONE 126 C,10385,153,118,21
PANTONE 1265 C,10386,135,107,39
PANTONE 127 C,10387,244,223,110
PANTONE 128 C,10388,242,213,79
PANTONE 129 C,10389,240,206,63
PANTONE 130 C,10390,240,170,6
PANTONE 131 C,10391,203,138,5
PANTONE 132 C,10392,160,115,4
PANTONE 133 C,10393,106,87,27
PANTONE 134 C,10394,254,212,115
PANTONE 1345 C,10395,251,208,135
PANTONE 135 C,10396,255,200,90
PANTONE 1355 C,10397,255,199,112
PANTONE 136 C,10398,255,192,65
PANTONE 1365 C,10399,252,180,75
PANTONE 137 C,10400,252,164,5
PANTONE 1375 C,10401,254,158,32
PANTONE 138 C,10402,221,124,4
PANTONE 1385 C,10403,212,120,4
PANTONE 139 C,10404,173,108,5
PANTONE 1395 C,10405,151,96,24
PANTONE 140 C,10406,114,83,30
PANTONE 1405 C,10407,110,78,32
PANTONE 141 C,10408,241,201,95
PANTONE 142 C,10409,240,190,74
PANTONE 143 C,10410,241,182,56
PANTONE 144 C,10411,237,141,10
PANTONE 145 C,10412,206,128,5
PANTONE 146 C,10413,168,111,20
PANTONE 147 C,10414,114,94,44
PANTONE 148 C,10415,252,203,139
PANTONE 1485 C,10416,254,174,100
PANTONE 149 C,10417,255,194,126
PANTONE 1495 C,10418,253,145,31
PANTONE 150 C,10419,254,179,91
PANTONE 1505 C,10420,252,104,1
PANTONE 151 C,10421,254,130,6
PANTONE 152 C,10422,228,114,5
PANTONE 1525 C,10423,183,72,3
PANTONE 153 C,10424,190,107,24
PANTONE 1535 C,10425,146,69,14
PANTONE 154 C,10426,153,90,27
PANTONE 1545 C,10427,100,57,25
PANTONE 155 C,10428,238,207,159
PANTONE 1555 C,10429,253,185,146
PANTONE 156 C,10430,235,190,125
PANTONE 1565 C,10431,254,160,107
PANTONE 157 C,10432,235,163,86
PANTONE 1575 C,10433,255,128,51
PANTONE 158 C,10434,233,120,36
PANTONE 1585 C,10435,255,107,22
PANTONE 159 C,10436,203,97,24
PANTONE 1595 C,10437,216,97,26
PANTONE 160 C,10438,160,86,28
PANTONE 1605 C,10439,166,86,36
PANTONE 161 C,10440,97,62,33
PANTONE 1615 C,10441,140,73,35
PANTONE 162 C,10442,255,192,163
PANTONE 1625 C,10443,253,164,139
PANTONE 163 C,10444,252,157,110
PANTONE 1635 C,10445,253,142,111
PANTONE 164 C,10446,254,128,67
PANTONE 1645 C,10447,253,107,63
PANTONE 165 C,10448,255,106,35
PANTONE 1655 C,10449,251,78,3
PANTONE 166 C,10450,226,82,8
PANTONE 1665 C,10451,220,69,8
PANTONE 167 C,10452,189,83,30
PANTONE 1675 C,10453,170,68,31
PANTONE 168 C,10454,116,59,30
PANTONE 1685 C,10455,129,58,30
PANTONE 169 C,10456,253,179,170
PANTONE 170 C,10457,255,135,118
PANTONE 171 C,10458,255,94,59
PANTONE 172 C,10459,250,72,25
PANTONE 173 C,10460,206,71,33
PANTONE 174 C,10461,149,56,34
PANTONE 175 C,10462,106,52,42
PANTONE 176 C,10463,254,177,189
PANTONE 1765 C,10464,253,165,181
PANTONE 1767 C,10465,250,174,191
PANTONE 177 C,10466,253,129,141
PANTONE 1775 C,10467,254,142,163
PANTONE 1777 C,10468,250,99,126
PANTONE 178 C,10469,255,90,94
PANTONE 1785 C,10470,247,71,96
PANTONE 1787 C,10471,242,54,77
PANTONE 1788 C,10472,235,39,56
PANTONE 179 C,10473,224,61,51
PANTONE 1795 C,10474,210,39,50
PANTONE 1797 C,10475,202,53,61
PANTONE 180 C,10476,188,59,54
PANTONE 1805 C,10477,175,41,48
PANTONE 1807 C,10478,164,55,60
PANTONE 181 C,10479,127,49,46
PANTONE 1815 C,10480,123,37,42
PANTONE 1817 C,10481,100,51,55
PANTONE 182 C,10482,249,187,205
PANTONE 183 C,10483,252,156,179
PANTONE 184 C,10484,243,82,116
PANTONE 185 C,10485,228,9,45
PANTONE 186 C,10486,202,22,48
PANTONE 187 C,10487,166,28,48
PANTONE 188 C,10488,118,36,48
PANTONE 189 C,10489,246,163,187
PANTONE 1895 C,10490,246,183,208
PANTONE 190 C,10491,245,118,154
PANTONE 1905 C,10492,244,155,187
PANTONE 191 C,10493,238,65,111
PANTONE 1915 C,10494,239,78,129
PANTONE 192 C,10495,226,12,72
PANTONE 1925 C,10496,222,2,78
PANTONE 193 C,10497,192,20,63
PANTONE 1935 C,10498,195,1,62
PANTONE 194 C,10499,154,39,67
PANTONE 1945 C,10500,165,14,62
PANTONE 195 C,10501,121,47,65
PANTONE 1955 C,10502,139,23,59
PANTONE 196 C,10503,237,200,206
PANTONE 197 C,10504,229,156,174
PANTONE 198 C,10505,223,73,99
PANTONE 199 C,10506,214,5,52
PANTONE 200 C,10507,185,12,47
PANTONE 2001 C,10508,245,229,153
PANTONE 2002 C,10509,247,226,124
PANTONE 2003 C,10510,248,226,104
PANTONE 2004 C,10511,249,221,124
PANTONE 2005 C,10512,251,216,130
PANTONE 2006 C,10513,233,189,81
PANTONE 2007 C,10514,222,166,41
PANTONE 2008 C,10515,237,194,112
PANTONE 2009 C,10516,237,182,98
PANTONE 201 C,10517,157,37,55
PANTONE 2010 C,10518,254,176,14
PANTONE 2011 C,10519,235,155,52
PANTONE 2012 C,10520,238,150,4
PANTONE 2013 C,10521,254,154,5
PANTONE 2014 C,10522,182,112,0
PANTONE 2015 C,10523,248,207,170
PANTONE 2016 C,10524,254,182,116
PANTONE 2017 C,10525,247,173,111
PANTONE 2018 C,10526,254,119,5
PANTONE 2019 C,10527,215,109,5
PANTONE 202 C,10528,134,41,53
PANTONE 2020 C,10529,188,85,3
PANTONE 2021 C,10530,157,74,24
PANTONE 2022 C,10531,248,170,142
PANTONE 2023 C,10532,250,148,113
PANTONE 2024 C,10533,248,127,88
PANTONE 2025 C,10534,254,139,62
PANTONE 2026 C,10535,243,99,61
PANTONE 2027 C,10536,235,83,64
PANTONE 2028 C,10537,234,55,5
PANTONE 2029 C,10538,240,130,128
PANTONE 203 C,10539,235,180,204
PANTONE 2030 C,10540,218,121,117
PANTONE 2031 C,10541,213,106,102
PANTONE 2032 C,10542,207,91,87
PANTONE 2033 C,10543,198,72,69
PANTONE 2034 C,10544,228,62,61
PANTONE 2035 C,10545,214,12,28
PANTONE 2036 C,10546,248,191,215
PANTONE 2037 C,10547,241,150,201
PANTONE 2038 C,10548,237,95,162
PANTONE 2039 C,10549,229,58,136
PANTONE 204 C,10550,229,128,168
PANTONE 2040 C,10551,218,20,92
PANTONE 2041 C,10552,160,35,80
PANTONE 2042 C,10553,111,41,63
PANTONE 2043 C,10554,233,197,211
PANTONE 2044 C,10555,228,146,182
PANTONE 2045 C,10556,219,116,161
PANTONE 2046 C,10557,205,87,138
PANTONE 2047 C,10558,166,69,112
PANTONE 2048 C,10559,150,59,100
PANTONE 2049 C,10560,132,45,78
PANTONE 205 C,10561,222,71,124
PANTONE 2050 C,10562,237,214,231
PANTONE 2051 C,10563,219,194,209
PANTONE 2052 C,10564,198,160,183
PANTONE 2053 C,10565,176,127,157
PANTONE 2054 C,10566,157,113,139
PANTONE 2055 C,10567,143,94,121
PANTONE 2056 C,10568,125,73,102
PANTONE 2057 C,10569,207,148,185
PANTONE 2058 C,10570,185,134,174
PANTONE 2059 C,10571,183,124,162
PANTONE 206 C,10572,205,3,57
PANTONE 2060 C,10573,200,108,169
PANTONE 2061 C,10574,171,83,137
PANTONE 2062 C,10575,179,70,142
PANTONE 2063 C,10576,165,49,125
PANTONE 2064 C,10577,223,163,214
PANTONE 2065 C,10578,220,168,220
PANTONE 2066 C,10579,209,143,212
PANTONE 2067 C,10580,190,106,194
PANTONE 2068 C,10581,176,81,183
PANTONE 2069 C,10582,163,60,170
PANTONE 207 C,10583,164,1,52
PANTONE 2070 C,10584,141,26,150
PANTONE 2071 C,10585,199,180,223
PANTONE 2072 C,10586,183,151,212
PANTONE 2073 C,10587,175,150,213
PANTONE 2074 C,10588,148,106,192
PANTONE 2075 C,10589,137,103,190
PANTONE 2076 C,10590,132,90,182
PANTONE 2077 C,10591,106,63,163
PANTONE 2078 C,10592,180,159,188
PANTONE 2079 C,10593,153,124,164
PANTONE 208 C,10594,134,32,66
PANTONE 2080 C,10595,151,116,171
PANTONE 2081 C,10596,133,94,155
PANTONE 2082 C,10597,119,77,146
PANTONE 2083 C,10598,148,96,200
PANTONE 2084 C,10599,127,54,179
PANTONE 2085 C,10600,219,204,230
PANTONE 2086 C,10601,160,140,205
PANTONE 2087 C,10602,155,125,214
PANTONE 2088 C,10603,129,92,199
PANTONE 2089 C,10604,111,72,188
PANTONE 209 C,10605,112,40,63
PANTONE 2090 C,10606,100,56,181
PANTONE 2091 C,10607,74,18,160
PANTONE 2092 C,10608,181,171,215
PANTONE 2093 C,10609,167,155,196
PANTONE 2094 C,10610,140,128,174
PANTONE 2095 C,10611,119,101,178
PANTONE 2096 C,10612,100,79,164
PANTONE 2097 C,10613,99,69,189
PANTONE 2098 C,10614,71,36,170
PANTONE 2099 C,10615,177,162,201
PANTONE 210 C,10616,247,161,202
PANTONE 2100 C,10617,160,145,203
PANTONE 2101 C,10618,137,116,208
PANTONE 2102 C,10619,100,88,176
PANTONE 2103 C,10620,87,75,169
PANTONE 2104 C,10621,73,55,155
PANTONE 2105 C,10622,56,33,126
PANTONE 2106 C,10623,175,182,206
PANTONE 2107 C,10624,142,152,186
PANTONE 2108 C,10625,119,128,169
PANTONE 2109 C,10626,102,110,153
PANTONE 211 C,10627,243,127,182
PANTONE 2110 C,10628,90,97,142
PANTONE 2111 C,10629,67,78,126
PANTONE 2112 C,10630,51,31,103
PANTONE 2113 C,10631,164,175,228
PANTONE 2114 C,10632,127,140,198
PANTONE 2115 C,10633,110,121,188
PANTONE 2116 C,10634,93,105,178
PANTONE 2117 C,10635,66,73,156
PANTONE 2118 C,10636,51,53,121
PANTONE 2119 C,10637,42,46,100
PANTONE 212 C,10638,239,80,154
PANTONE 2120 C,10639,188,202,233
PANTONE 2121 C,10640,139,171,217
PANTONE 2122 C,10641,155,174,228
PANTONE 2123 C,10642,119,147,220
PANTONE 2124 C,10643,110,124,213
PANTONE 2125 C,10644,79,97,200
PANTONE 2126 C,10645,43,58,178
PANTONE 2127 C,10646,184,200,224
PANTONE 2128 C,10647,151,182,230
PANTONE 2129 C,10648,92,141,220
PANTONE 213 C,10649,227,31,122
PANTONE 2130 C,10650,84,119,211
PANTONE 2131 C,10651,52,90,191
PANTONE 2132 C,10652,0,87,193
PANTONE 2133 C,10653,24,88,167
PANTONE 2134 C,10654,144,164,206
PANTONE 2135 C,10655,116,140,192
PANTONE 2136 C,10656,129,149,184
PANTONE 2137 C,10657,106,128,169
PANTONE 2138 C,10658,99,118,147
PANTONE 2139 C,10659,73,104,149
PANTONE 214 C,10660,206,25,108
PANTONE 2140 C,10661,54,84,130
PANTONE 2141 C,10662,138,188,231
PANTONE 2142 C,10663,127,173,228
PANTONE 2143 C,10664,62,135,203
PANTONE 2144 C,10665,0,103,184
PANTONE 2145 C,10666,0,79,169
PANTONE 2146 C,10667,0,55,145
PANTONE 2147 C,10668,0,38,120
PANTONE 2148 C,10669,95,146,179
PANTONE 2149 C,10670,75,130,170
PANTONE 215 C,10671,169,23,89
PANTONE 2150 C,10672,51,116,157
PANTONE 2151 C,10673,36,107,163
PANTONE 2152 C,10674,23,101,145
PANTONE 2153 C,10675,0,87,126
PANTONE 2154 C,10676,0,71,131
PANTONE 2155 C,10677,156,183,204
PANTONE 2156 C,10678,137,167,195
PANTONE 2157 C,10679,116,149,179
PANTONE 2158 C,10680,91,128,165
PANTONE 2159 C,10681,76,119,156
PANTONE 216 C,10682,122,33,70
PANTONE 2160 C,10683,63,106,146
PANTONE 2161 C,10684,38,89,129
PANTONE 2162 C,10685,158,167,180
PANTONE 2163 C,10686,133,156,175
PANTONE 2164 C,10687,124,148,169
PANTONE 2165 C,10688,103,130,152
PANTONE 2166 C,10689,85,115,141
PANTONE 2167 C,10690,80,110,136
PANTONE 2168 C,10691,32,74,93
PANTONE 2169 C,10692,127,175,210
PANTONE 217 C,10693,231,189,217
PANTONE 2170 C,10694,94,155,198
PANTONE 2171 C,10695,72,161,225
PANTONE 2172 C,10696,19,124,210
PANTONE 2173 C,10697,0,131,212
PANTONE 2174 C,10698,1,118,206
PANTONE 2175 C,10699,0,106,198
PANTONE 2176 C,10700,164,182,194
PANTONE 2177 C,10701,126,161,174
